日時,"室内CO2濃度[ppm]","室内日射強度[kW m-2]","室内気温[C]","室内相対湿度[%]","積算日射[MJ]"
"2025/12/25 13:00:00",668,0.05,23,68,
"2025/12/25 13:05:00",599,0.07,23.1,70,
"2025/12/25 13:10:00",599,0.07,24,67,
"2025/12/25 13:15:00",622,0.05,23.5,69,
"2025/12/25 13:20:00",701,0.05,23.3,72,
"2025/12/25 13:25:00",735,0.04,23.1,74,
"2025/12/25 13:30:00",742,0.04,22.9,75,
"2025/12/25 13:35:00",725,0.04,22.7,77,
"2025/12/25 13:40:00",718,0.03,22.4,78,
"2025/12/25 13:45:00",705,0.03,22,80,
"2025/12/25 13:50:00",712,0.03,21.9,80,
"2025/12/25 13:55:00",707,0.02,21.8,80,
"2025/12/25 14:00:00",703,0.02,21.3,82,
"2025/12/25 14:05:00",703,0.02,20.8,83,
"2025/12/25 14:10:00",704,0.02,20.5,83,
"2025/12/25 14:15:00",703,0.02,20.4,84,
"2025/12/25 14:20:00",703,0.01,20.2,84,
"2025/12/25 14:25:00",712,0.02,19.8,85,
"2025/12/25 14:30:00",718,0.02,19.5,85,
"2025/12/25 14:35:00",722,0.02,19.3,85,
"2025/12/25 14:40:00",735,0.02,19.2,85,
"2025/12/25 14:45:00",744,0.02,19.2,85,
"2025/12/25 14:50:00",767,0.02,19.3,84,
"2025/12/25 14:55:00",770,0.02,19.2,84,
"2025/12/25 15:00:00",775,0.02,19.1,85,
"2025/12/25 15:05:00",815,0.02,19,85,
"2025/12/25 15:10:00",825,0.01,19.1,85,
"2025/12/25 15:15:00",828,0.01,18.9,85,
"2025/12/25 15:20:00",845,0.02,18.7,85,
"2025/12/25 15:25:00",870,0.02,18.8,85,
"2025/12/25 15:30:00",878,0.01,18.6,85,
"2025/12/25 15:35:00",887,0.01,18.4,86,
"2025/12/25 15:40:00",912,0.01,18,86,
"2025/12/25 15:45:00",926,0.01,17.7,86,
"2025/12/25 15:50:00",945,0.01,17.5,86,
"2025/12/25 15:55:00",964,0.01,17.2,87,
"2025/12/25 16:00:00",975,0.01,17.1,87,
"2025/12/25 16:05:00",995,0,16.7,87,
"2025/12/25 16:10:00",1010,0,16.5,88,
"2025/12/25 16:15:00",1021,0,16.2,88,
"2025/12/25 16:20:00",1044,0,15.9,88,
"2025/12/25 16:25:00",1058,0,15.7,89,
"2025/12/25 16:30:00",1083,0,15.4,89,
"2025/12/25 16:35:00",1079,0,15.1,89,
"2025/12/25 16:40:00",1075,0,14.8,90,
"2025/12/25 16:45:00",1079,0,14.7,90,
"2025/12/25 16:50:00",1063,0,14.4,90,
"2025/12/25 16:55:00",1063,0,14,90,
"2025/12/25 17:00:00",1068,0,13.8,90,
